permno,month,usdret,realizedvol,log_vol,debt_at,lnmcap,beta,Treated,Post,DiD
89458,2007-10,0.0338,0.0196386245551711,-3.930257011340659,0.47311947,10.85959266746056,0.0683013814293525,0,0,0
89458,2007-11,-0.0465,0.0162407773037059,-4.120230081865339,0.47311947,10.796553873484177,0.1306967746887189,0,0,0
89458,2007-12,-0.0672,0.0199588246697386,-3.9140838941141998,0.47311947,10.721249490420044,0.1325661694274094,0,0,0
89458,2008-01,-0.0445,0.0214047517993196,-3.844142334905873,0.4898926,10.669662121629552,0.1609159966757304,0,0,0
89458,2008-02,-0.0454,0.0237205282893597,-3.7414144332051933,0.4898926,10.616819640255173,0.1875564322895214,0,0,0
89458,2008-03,0.1149,0.021424355066139,-3.8432269168818673,0.4898926,10.691644867891396,0.1423255049720405,0,0,0
89458,2008-04,0.0687,0.0151131907284169,-4.1921873583178355,0.527614,10.696344312245053,0.1985865799166657,0,0,0
89458,2008-05,-0.0625,0.0154343331541821,-4.171160825448056,0.527614,10.6190757884425,0.1917574859812777,0,0,0
89458,2008-06,0.0152,0.0184262363717762,-3.993979740212248,0.527614,10.62840589209591,0.2009468096195485,0,0,0
89458,2008-07,-0.011,0.0178147626068408,-4.027727805478135,0.5422755,10.611480241212568,0.1921097608245414,0,0,0
89458,2008-08,0.0016,0.0181724478248699,-4.007848687713201,0.5422755,10.540989879128622,0.1909628206697853,0,0,0
89458,2008-09,-0.0298,0.052393787865184,-2.948967246874152,0.5422755,10.504622234957749,0.2076325502500549,0,1,0
89458,2008-10,-0.0902,0.0424528045558373,-3.1593623011318077,0.5608235,10.403368501252574,0.2894757946782946,0,1,0
89458,2008-11,-0.5342,0.0866211323621537,-2.4462114705247697,0.5608235,9.612038393515103,0.7314855687345194,0,1,0
89496,2006-01,-0.0108,0.0068759892103647,-4.97971976063602,0.5110149,12.240713174095164,0.4837857952658549,1,0,0
89496,2006-02,0.0048,0.0123568562969656,-4.393544204209439,0.5110149,12.24546377685376,0.4834527241026181,1,0,0
89496,2006-03,0.0362,0.008196736156578,-4.80401923363238,0.5110149,12.499761143239692,0.4857107456185826,1,0,0
89496,2006-04,0.0,0.0129468513246357,-4.346902661354917,0.61948276,12.629279435114496,0.486724827811729,1,0,0
89496,2006-05,-0.056,0.0132819336587066,-4.321350538703179,0.61948276,12.560237441682306,0.5125343058593206,1,0,0
89496,2006-06,0.0429,0.0119787462081227,-4.424621348856685,0.61948276,12.602201640781336,0.4971699893743983,1,0,0
89496,2006-07,0.0171,0.0159975506292122,-4.135319654135401,0.6203263,12.619179977315754,0.4849161206492911,1,0,0
89496,2006-08,0.0354,0.008342006725098,-4.786451477034369,0.6203263,12.66971319827524,0.4855224044869844,1,0,0
89496,2006-09,0.1678,0.0290770353833435,-3.5378065784414248,0.6203263,12.83059917103632,0.464651418105488,1,0,0
89496,2006-10,0.0554,0.0071365583986299,-4.942524635836795,0.5825826,12.884547309246022,0.4712942260258439,1,0,0
89496,2006-11,0.0158,0.0102284450119216,-4.582582713316902,0.5825826,12.88771024423669,0.4707909973394342,1,0,0
89646,2006-01,0.0007,0.0088165532546514,-4.731124272795243,0.69658554,11.952962806463477,0.2550032330567264,1,0,0
89646,2006-02,0.0114,0.0077692563279176,-4.857580829875857,0.69658554,11.964270347438935,0.2574523111059538,1,0,0
89646,2006-03,0.0309,0.0076000111535179,-4.879605564122784,0.69658554,11.97753406719398,0.2580584367343005,1,0,0
89646,2006-04,-0.0069,0.0103833559606635,-4.567551143222032,0.6718759,11.970575096869675,0.2649513710744424,1,0,0
89646,2006-05,0.0447,0.0149118905128312,-4.205596363284793,0.6718759,12.014297907883508,0.2258810556925394,1,0,0
89646,2006-06,0.0114,0.0104608732756071,-4.560113336678488,0.6718759,12.008935964742122,0.2284355558755878,1,0,0
89646,2006-07,0.0047,0.0108541363670116,-4.523209039663481,0.66888046,12.013629235173871,0.2338992009230539,1,0,0
89646,2006-08,0.0696,0.0096420697448435,-4.64161948958331,0.66888046,12.08088146218304,0.2348847239299947,1,0,0
89646,2006-09,0.0607,0.0108907258450288,-4.519843691822373,0.66888046,12.124326654759884,0.2274580757406452,1,0,0
89646,2006-10,0.0503,0.0078366247930589,-4.848947048405751,0.6125208,12.173401922281212,0.2333637993070884,1,0,0
89646,2006-11,0.0696,0.0102758720973893,-4.577956646543248,0.6125208,12.240644878915257,0.2374942461220757,1,0,0
89646,2006-12,-0.0107,0.0161363016909243,-4.126683781744703,0.6125208,12.216724710308508,0.2416103965928084,1,0,0
89646,2007-01,0.0563,0.023801646327181,-3.7380005272861117,0.6629946,12.271481943681373,0.24102007953475,1,0,0
89646,2007-02,0.0191,0.0090498294555996,-4.705009366132993,0.6629946,12.290442286205076,0.2417060853075519,1,0,0
89646,2007-03,0.0437,0.0138991979908929,-4.275924139007027,0.6629946,12.319951804298857,0.2372127866377865,1,0,0
89646,2007-04,0.0956,0.0092249299007463,-4.685845687919507,0.68666077,12.411266378437238,0.2407770098042652,1,0,0
89646,2007-05,-0.0036,0.0128730505680888,-4.352619256083598,0.68666077,12.407661146952275,0.2406262810655972,1,0,0
89646,2007-06,0.1296,0.0248049043399543,-3.6967138897189518,0.68666077,12.518739665886974,0.197538134147892,1,0,0
89646,2007-07,0.0008,0.0047553859454807,-5.348477420036587,0.6882817,12.519547420373543,0.2103423310673431,1,0,0
89646,2007-08,0.0137,0.0067928013026695,-4.991891859507042,0.6882817,12.53318035004177,0.2138119912063004,1,0,0
89768,2006-01,0.0939,0.0105226758567791,-4.554222745006921,0.8452246,14.216171343775734,0.7604585325805175,1,0,0
89768,2006-02,0.0012,0.0128159835815961,-4.357062169743401,0.8452246,14.254010362137336,0.7652600786297686,1,0,0
89768,2006-03,0.0904,0.0124838354491614,-4.383320635599163,0.8452246,14.330290054861813,0.7825059785070758,1,0,0
89768,2006-04,-0.0696,0.0150650288393293,-4.195379192075166,0.8503577,14.258161155716513,0.8069883226591299,1,0,0
89768,2006-05,-0.0677,0.0150107175838116,-4.19899082743008,0.8503577,14.197951294527192,0.8602022895019817,1,0,0
89768,2006-06,0.1235,0.0169013233415258,-4.08036335588643,0.8503577,14.303090686560216,0.7884399523682742,1,0,0
89768,2006-07,0.0637,0.0147582609832595,-4.215952286313445,0.78436005,14.516823805257143,0.730805703037999,1,0,0
89768,2006-08,0.0668,0.0198922259957802,-3.9174262770550206,0.78436005,14.443720962093536,0.7349558065309166,1,0,0
